518f7a5f55c395300138737c9a39ef0bf16e3b96,DELETE,regular-file,projects/shaunalynn-snail/favicon.ico,32038,
6a19cf0913320e5d17440aad55c1975d1a01b13c,DELETE,regular-file,projects/shaunalynn-snail/index.html,5744,
23cb8ce2c4be3874bd46d560180f514c76cd873a,DELETE,regular-file,projects/shaunalynn-snail/media/goodbye.mov,84834393,
7f9fdaff5f8e6bdfc664d31c2ab0e340711cd20d,DELETE,regular-file,projects/shaunalynn-snail/media/hello.mov,11141325,
f8423f0403a43221efa22777c2c559c2f3544b79,DELETE,regular-file,projects/shaunalynn-snail/media/long-trail.MOV,77892746,
a2e8cf3cab818454a95351afbc1dfaf44073b4c9,DELETE,regular-file,projects/shaunalynn-snail/media/ooblek.mp4,6665227,
b9a6ac90129480a6aa9dd0d94570afe895e55ea4,DELETE,regular-file,projects/shaunalynn-snail/media/razor.mp4,9818109,
1cd4a85366246e2f1460e5c63dbd1279cacf758f,DELETE,regular-file,projects/shaunalynn-snail/media/shroom.MOV,37670769,
86c5e480168dc403f7f8dc45b93083cae645aeb6,DELETE,regular-file,projects/shaunalynn-snail/media/shroom.jpg,1405457,
29dfbbdc3768e6a84d672c5c8937fb2fa586cfad,DELETE,regular-file,projects/shaunalynn-snail/media/trail.JPG,1759991,
8a5721a1579100a1c2677b9a62d20fc67d97edd4,DELETE,regular-file,projects/shaunalynn-snail/media/vertical-crawl.MOV,9725055,
